mpn,manufacturer,price_jpy,stock,vout1,vout2,vin_min,vin_max,iout_min_a,iout_raw,watt,isolation,efficiency,features,package,datasheet,url
URA2415YMD-10WR3,"Mornsun America, LLC",1227.21053,254,15V,-15V,9.0,36.0,0.333,333mA、333mA,10 W,1.5 kV,87%,-,-,https://www.mornsun-power.com/html/pdf/URA2415YMD-10WR3.html,https://www.digikey.com/ja/products/detail/mornsun-america-llc/URA2415YMD-10WR3/13168177
AM10GH-2415DLPZ,aimtec,1394.0,345,-15V,15V,9.0,36.0,0.333,333mA、333mA,10 W,1.5 kV,86%,OVP、SCP,8-SIP,https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM10GH-LPZ.pdf,https://www.digikey.com/ja/products/detail/dcomponents/AM10GH-2415DLPZ/27523818
WRFD12D15-20WH2,HenLv Power,1540.0,20000,15V,-15V,9.0,18.0,0.667,667mA,20 W,1500 V,84%,-,,https://oss.henlv.net/uploads/20250908/7b3b4d0d002012357fa208876b299251.pdf,https://www.digikey.com/ja/products/detail/henlv-power/WRFD12D15-20WH2/26851596
WRFD12D12-20WH2,HenLv Power,1540.0,20000,12V,-12V,9.0,18.0,0.834,834mA,20 W,1500 V,83%,-,,https://oss.henlv.net/uploads/20250908/7b3b4d0d002012357fa208876b299251.pdf,https://www.digikey.com/ja/products/detail/henlv-power/WRFD12D12-20WH2/26852263
AM10TW-2415DLPZ,aimtec,1581.0,240,-15V,15V,9.0,36.0,0.33,330mA、330mA,10 W,1.5 kV,87%,リモートオン/オフ、OCP、OTP、SCP、UVLO,24-DIP,https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM10TW-LPZ.pdf,https://www.digikey.com/ja/products/detail/dcomponents/AM10TW-2415DLPZ/27523559
AM10TW-2412DLPZ,aimtec,1581.0,240,-12V,12V,9.0,36.0,0.416,416mA、416mA,10 W,1.5 kV,87%,リモートオン/オフ、OCP、OTP、SCP、UVLO,24-DIP,https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM10TW-LPZ.pdf,https://www.digikey.com/ja/products/detail/dcomponents/AM10TW-2412DLPZ/27524065
NSD10-12D12,MEAN WELL USA Inc.,1644.0,86,12V,-12V,9.8,36.0,0.42,420mA、420mA,10 W,1 kV,77%,リモートオン/オフ、OCP、OVP、SCP,-,https://www.meanwellusa.com/upload/pdf/NSD10-D/NSD10-D-spec.pdf,https://www.digikey.com/ja/products/detail/mean-well-usa-inc/NSD10-12D12/7705426
NSD10-12D15,MEAN WELL USA Inc.,1644.0,1,15V,-15V,9.8,36.0,0.33,330mA、330mA,10 W,1 kV,77%,リモートオン/オフ、OCP、OVP、SCP,-,https://www.meanwellusa.com/upload/pdf/NSD10-D/NSD10-D-spec.pdf,https://www.digikey.com/ja/products/detail/mean-well-usa-inc/NSD10-12D15/7705427
URFD24D12-20WH2,HenLv Power,1725.0,20000,12V,-12V,9.0,36.0,0.834,834mA,20 W,1500 V,83%,-,,https://oss.henlv.net/uploads/20250908/3655b96f0a5107038e4e3b7ba29098f0.pdf,https://www.digikey.com/ja/products/detail/henlv-power/URFD24D12-20WH2/26851838
URFD24D15-20WH2,HenLv Power,1725.0,20000,15V,-15V,9.0,36.0,0.667,667mA,20 W,1500 V,82%,-,,https://oss.henlv.net/uploads/20250908/3655b96f0a5107038e4e3b7ba29098f0.pdf,https://www.digikey.com/ja/products/detail/henlv-power/URFD24D15-20WH2/26852058
